sentence,label_id
Prescribing paracetamol to a patient already on cetirizine,0
Combined therapy with quinidine and digoxin,2
Co-administration of statins with cyclosporine,1
tramadol was added to ongoing fluoxetine therapy,1
Concurrent use of oral contraceptives and rifampicin in the same patient,1
Prescribing quinidine to a patient already on digoxin,2
The patient received amlodipine alongside lisinopril,0
The patient received fluconazole alongside warfarin,1
The patient received aspirin alongside warfarin,1
The patient received ciprofloxacin alongside antacids,1
Prescribing metformin to a patient already on amlodipine,0
Simultaneous administration of clarithromycin and omeprazole,0
Concurrent use of aspirin and vitamin C in the same patient,0
potassium was added to ongoing lisinopril therapy,1
Prescribing simvastatin to a patient already on diltiazem,1
Combined therapy with diltiazem and simvastatin,1
Prescribing oral contraceptives to a patient already on carbamazepine,1
Concurrent use of terfenadine and ketoconazole in the same patient,2
The patient received simvastatin alongside erythromycin,1
Simultaneous administration of omeprazole and atenolol,0
Drug interaction between warfarin and phenytoin,2
Simultaneous administration of clopidogrel and omeprazole,1
fluconazole used concomitantly with warfarin,1
Patient is taking verapamil and digoxin,1
The patient received pethidine alongside MAOIs,2
Concurrent use of ketoconazole and terfenadine in the same patient,2
Combined therapy with omeprazole and clopidogrel,1
Patient is taking pethidine and MAOIs,2
Concurrent use of diltiazem and simvastatin in the same patient,1
The patient received cisapride alongside clarithromycin,2
Combined therapy with pethidine and MAOIs,2
Prescribing metformin to a patient already on glipizide,0
Combined therapy with aspirin and vitamin C,0
Drug interaction between digoxin and quinidine,2
Concurrent use of fluconazole and warfarin in the same patient,1
amlodipine was added to ongoing metformin therapy,0
Concurrent use of potassium and lisinopril in the same patient,1
The patient received omeprazole alongside clopidogrel,1
Patient is taking tramadol and fluoxetine,1
Patient is taking terfenadine and ketoconazole,2
Simultaneous administration of itraconazole and simvastatin,2
Patient is taking clopidogrel and omeprazole,1
Concurrent use of simvastatin and ramipril in the same patient,0
lisinopril used concomitantly with potassium,1
Combined therapy with SSRIs and MAOIs,2
Concurrent use of metoprolol and atorvastatin in the same patient,0
Prescribing ketoconazole to a patient already on terfenadine,2
alcohol was added to ongoing metformin therapy,1
warfarin was added to ongoing rifampicin therapy,2
Patient is taking digoxin and verapamil,1
Combined therapy with warfarin and aspirin,1
Simultaneous administration of antacids and ciprofloxacin,1
The patient received methotrexate alongside trimethoprim,2
Co-administration of ciprofloxacin with antacids,1
Patient is taking glipizide and metformin,0
Drug interaction between amlodipine and lisinopril,0
Co-administration of warfarin with phenytoin,2
Concurrent use of rifampicin and oral contraceptives in the same patient,1
Prescribing MAOIs to a patient already on SSRIs,2
Concurrent use of antacids and ciprofloxacin in the same patient,1
The patient received simvastatin alongside diltiazem,1
MAOIs used concomitantly with pethidine,2
digoxin used concomitantly with quinidine,2
Patient is taking amlodipine and lisinopril,0
Patient is taking lithium and NSAIDs,2
rifampicin was added to ongoing oral contraceptives therapy,1
The patient received MAOIs alongside pethidine,2
Prescribing simvastatin to a patient already on ramipril,0
terfenadine was added to ongoing ketoconazole therapy,2
Concurrent use of statins and cyclosporine in the same patient,1
Prescribing digoxin to a patient already on verapamil,1
aspirin used concomitantly with vitamin C,0
The patient received amoxicillin alongside metformin,0
Patient is taking oral contraceptives and carbamazepine,1
Combined therapy with amlodipine and metformin,0
Concurrent use of glipizide and metformin in the same patient,0
Drug interaction between ketoconazole and terfenadine,2
Simultaneous administration of amiodarone and digoxin,1
Prescribing vitamin C to a patient already on aspirin,0
metoprolol used concomitantly with atorvastatin,0
Patient is taking MAOIs and pethidine,2
Concurrent use of methotrexate and trimethoprim in the same patient,2
Prescribing warfarin to a patient already on aspirin,1
Simultaneous administration of glipizide and metformin,0
Co-administration of atorvastatin with ezetimibe,0
The patient received omeprazole alongside clarithromycin,0
The patient received carbamazepine alongside oral contraceptives,1
The patient received azithromycin alongside pimozide,2
cetirizine used concomitantly with paracetamol,0
Patient is taking azithromycin and pimozide,2
Concurrent use of amiodarone and sotalol in the same patient,2
NSAIDs used concomitantly with methotrexate,1
trimethoprim was added to ongoing methotrexate therapy,2
MAOIs used concomitantly with SSRIs,2
Drug interaction between phenytoin and warfarin,2
Co-administration of digoxin with quinidine,2
The patient received vitamin C alongside aspirin,0
Prescribing amiodarone to a patient already on sotalol,2
Co-administration of digoxin with amiodarone,1
Drug interaction between cisapride and clarithromycin,2
Combined therapy with metformin and glipizide,0
Drug interaction between methotrexate and NSAIDs,1
clopidogrel used concomitantly with omeprazole,1
rifampicin used concomitantly with warfarin,2
Patient is taking warfarin and phenytoin,2
Prescribing antacids to a patient already on ciprofloxacin,1
Combined therapy with methotrexate and trimethoprim,2
Combined therapy with lisinopril and amlodipine,0
Patient is taking antacids and ciprofloxacin,1
Patient is taking atenolol and omeprazole,0
erythromycin was added to ongoing simvastatin therapy,1
Prescribing pimozide to a patient already on azithromycin,2
oral contraceptives used concomitantly with rifampicin,1
Patient is taking NSAIDs and methotrexate,1
metformin was added to ongoing alcohol therapy,1
NSAIDs was added to ongoing lithium therapy,2
Co-administration of SSRIs with linezolid,2
Drug interaction between MAOIs and pethidine,2
Combined therapy with amiodarone and digoxin,1
Drug interaction between rifampicin and oral contraceptives,1
rifampicin was added to ongoing warfarin therapy,2
Patient is taking lisinopril and potassium,1
The patient received statins alongside cyclosporine,1
Combined therapy with cyclosporine and statins,1
metformin used concomitantly with amoxicillin,0
Prescribing metoprolol to a patient already on atorvastatin,0
Combined therapy with itraconazole and simvastatin,2
Co-administration of cisapride with clarithromycin,2
Concurrent use of ciprofloxacin and theophylline in the same patient,2
Concurrent use of losartan and ibuprofen in the same patient,0
simvastatin was added to ongoing erythromycin therapy,1
The patient received simvastatin alongside ramipril,0
Patient is taking trimethoprim and methotrexate,2
Concurrent use of paracetamol and cetirizine in the same patient,0
Concurrent use of simvastatin and itraconazole in the same patient,2
Co-administration of theophylline with ciprofloxacin,2
The patient received NSAIDs alongside methotrexate,1
Drug interaction between aspirin and vitamin C,0
Concurrent use of clarithromycin and omeprazole in the same patient,0
Co-administration of oral contraceptives with carbamazepine,1
The patient received atorvastatin alongside metoprolol,0
Prescribing warfarin to a patient already on phenytoin,2
SSRIs was added to ongoing MAOIs therapy,2
Prescribing atorvastatin to a patient already on ezetimibe,0
Prescribing omeprazole to a patient already on atenolol,0
Combined therapy with digoxin and quinidine,2
Concurrent use of rifampicin and warfarin in the same patient,2
Drug interaction between alcohol and metformin,1
Co-administration of MAOIs with pethidine,2
The patient received itraconazole alongside simvastatin,2
Prescribing valproate to a patient already on carbamazepine,2
Simultaneous administration of MAOIs and pethidine,2
Co-administration of aspirin with paracetamol,0
Prescribing omeprazole to a patient already on clopidogrel,1
Co-administration of NSAIDs with methotrexate,1
Concurrent use of vitamin C and aspirin in the same patient,0
Simultaneous administration of cyclosporine and statins,1
Patient is taking paracetamol and aspirin,0
Patient is taking amlodipine and omeprazole,0
Simultaneous administration of digoxin and verapamil,1
Patient is taking aspirin and paracetamol,0
Co-administration of itraconazole with simvastatin,2
verapamil was added to ongoing digoxin therapy,1
ciprofloxacin was added to ongoing antacids therapy,1
Drug interaction between cyclosporine and statins,1
The patient received metformin alongside lisinopril,0
Combined therapy with lisinopril and metformin,0
Prescribing pethidine to a patient already on MAOIs,2
The patient received antacids alongside ciprofloxacin,1
erythromycin used concomitantly with simvastatin,1
Prescribing lisinopril to a patient already on metformin,0
simvastatin was added to ongoing diltiazem therapy,1
Patient is taking valproate and carbamazepine,2
Drug interaction between simvastatin and diltiazem,1
Prescribing verapamil to a patient already on digoxin,1
omeprazole used concomitantly with amlodipine,0
Combined therapy with pimozide and azithromycin,2
Drug interaction between SSRIs and linezolid,2
atenolol used concomitantly with omeprazole,0
Combined therapy with simvastatin and erythromycin,1
Drug interaction between tramadol and fluoxetine,1
Concurrent use of carbamazepine and oral contraceptives in the same patient,1
Patient is taking ciprofloxacin and antacids,1
The patient received cyclosporine alongside statins,1
Prescribing itraconazole to a patient already on simvastatin,2
Co-administration of carbamazepine with oral contraceptives,1
Prescribing aspirin to a patient already on warfarin,1
Co-administration of phenytoin with warfarin,2
Simultaneous administration of clarithromycin and cisapride,2
vitamin C was added to ongoing aspirin therapy,0
The patient received rifampicin alongside warfarin,2
Concurrent use of lithium and NSAIDs in the same patient,2
fluoxetine was added to ongoing tramadol therapy,1
Simultaneous administration of atenolol and omeprazole,0
potassium used concomitantly with lisinopril,1
simvastatin used concomitantly with ramipril,0
Drug interaction between antacids and ciprofloxacin,1
Combined therapy with azithromycin and pimozide,2
Co-administration of quinidine with digoxin,2
NSAIDs was added to ongoing methotrexate therapy,1
The patient received ciprofloxacin alongside theophylline,2
The patient received amiodarone alongside sotalol,2
Concurrent use of amlodipine and lisinopril in the same patient,0
Co-administration of atorvastatin with metoprolol,0
omeprazole used concomitantly with atenolol,0
Simultaneous administration of pethidine and MAOIs,2
Combined therapy with rifampicin and warfarin,2
Prescribing amlodipine to a patient already on metformin,0
Combined therapy with carbamazepine and valproate,2
alcohol used concomitantly with metformin,1
Drug interaction between glipizide and metformin,0
Combined therapy with amiodarone and sotalol,2
Concurrent use of oral contraceptives and carbamazepine in the same patient,1
Co-administration of MAOIs with SSRIs,2
linezolid was added to ongoing SSRIs therapy,2
Combined therapy with clopidogrel and omeprazole,1
Patient is taking aspirin and warfarin,1
Combined therapy with atorvastatin and metoprolol,0
Patient is taking carbamazepine and valproate,2
Co-administration of warfarin with aspirin,1
atorvastatin used concomitantly with ezetimibe,0
Concurrent use of atenolol and omeprazole in the same patient,0
The patient received omeprazole alongside atenolol,0
simvastatin used concomitantly with diltiazem,1
Prescribing SSRIs to a patient already on linezolid,2
Combined therapy with ketoconazole and terfenadine,2
theophylline was added to ongoing ciprofloxacin therapy,2
Combined therapy with ezetimibe and atorvastatin,0
Prescribing atenolol to a patient already on omeprazole,0
antacids used concomitantly with ciprofloxacin,1
Prescribing methotrexate to a patient already on trimethoprim,2
Prescribing azithromycin to a patient already on pimozide,2
carbamazepine was added to ongoing oral contraceptives therapy,1
Patient is taking omeprazole and clopidogrel,1
Drug interaction between ramipril and simvastatin,0
The patient received digoxin alongside quinidine,2
Concurrent use of atorvastatin and ezetimibe in the same patient,0
sotalol used concomitantly with amiodarone,2
lisinopril used concomitantly with metformin,0
Simultaneous administration of metformin and amlodipine,0
Concurrent use of ramipril and simvastatin in the same patient,0
statins was added to ongoing cyclosporine therapy,1
The patient received glipizide alongside metformin,0
Prescribing clopidogrel to a patient already on omeprazole,1
Combined therapy with metformin and alcohol,1
Prescribing paracetamol to a patient already on aspirin,0
ketoconazole used concomitantly with terfenadine,2
ciprofloxacin used concomitantly with theophylline,2
Co-administration of rifampicin with oral contraceptives,1
Simultaneous administration of metformin and amoxicillin,0
Simultaneous administration of ibuprofen and losartan,0
paracetamol used concomitantly with cetirizine,0
The patient received phenytoin alongside warfarin,2
Concurrent use of sotalol and amiodarone in the same patient,2
Combined therapy with metformin and lisinopril,0
Drug interaction between digoxin and amiodarone,1
Simultaneous administration of omeprazole and amlodipine,0
warfarin used concomitantly with aspirin,1
Co-administration of simvastatin with diltiazem,1
Patient is taking pimozide and azithromycin,2
Combined therapy with warfarin and fluconazole,1
Patient is taking metoprolol and atorvastatin,0
Patient is taking phenytoin and warfarin,2
Patient is taking metformin and alcohol,1
Simultaneous administration of losartan and ibuprofen,0
Simultaneous administration of warfarin and aspirin,1
Combined therapy with methotrexate and NSAIDs,1
Simultaneous administration of vitamin C and aspirin,0
The patient received valproate alongside carbamazepine,2
Patient is taking simvastatin and ramipril,0
terfenadine used concomitantly with ketoconazole,2
Simultaneous administration of MAOIs and SSRIs,2
lisinopril was added to ongoing potassium therapy,1
Drug interaction between oral contraceptives and carbamazepine,1
Drug interaction between ibuprofen and losartan,0
Prescribing ibuprofen to a patient already on losartan,0
Drug interaction between methotrexate and trimethoprim,2
Prescribing alcohol to a patient already on metformin,1
Drug interaction between oral contraceptives and rifampicin,1
Prescribing ciprofloxacin to a patient already on theophylline,2
Concurrent use of cisapride and clarithromycin in the same patient,2
antacids was added to ongoing ciprofloxacin therapy,1
Simultaneous administration of lisinopril and amlodipine,0
Concurrent use of alcohol and metformin in the same patient,1
Co-administration of metformin with amlodipine,0
Simultaneous administration of diltiazem and simvastatin,1
Prescribing clarithromycin to a patient already on omeprazole,0
Concurrent use of omeprazole and amlodipine in the same patient,0
Concurrent use of warfarin and aspirin in the same patient,1
Simultaneous administration of verapamil and digoxin,1
methotrexate was added to ongoing NSAIDs therapy,1
Prescribing lithium to a patient already on NSAIDs,2
Combined therapy with ciprofloxacin and theophylline,2
Combined therapy with glipizide and metformin,0
ezetimibe used concomitantly with atorvastatin,0
Combined therapy with statins and cyclosporine,1
The patient received pimozide alongside azithromycin,2
carbamazepine was added to ongoing valproate therapy,2
